meeting_date,asof_date,exp_rate_bp,var_bp2,p_tail_cut,p_tail_hike,top1_mid_bp,top1_prob,top2_mid_bp,top2_prob,days_to_meeting
2025-12-10,2025-06-30,371.0118835118836,368.2039047361913,0.11113911113911115,0.06514406514406515,362.5,0.5053925053925055,387.5,0.31832431832431834,163
2025-12-10,2025-07-01,373.35121414878586,403.3400054083358,0.0987079012920987,0.0896189103810896,362.5,0.46391453608546385,387.5,0.3477586522413477,162
2025-12-10,2025-07-02,373.0762250000001,414.60783974937505,0.109701,0.089702,362.5,0.452373,387.5,0.348224,161
2025-12-10,2025-07-03,386.46785,455.2746663775,0.017741,0.25380199999999997,387.5,0.432408,362.5,0.296049,160
2025-12-10,2025-07-07,387.46785003214995,462.27600410252955,0.016665983334016667,0.27105072894927107,387.5,0.43254756745243256,362.5,0.27973572026427973,156
2025-12-10,2025-07-08,388.41432408567584,466.5916690386953,0.2797247202752797,0.044664955335044665,387.5,0.43300956699043297,362.5,0.26409173590826407,155
2025-12-10,2025-07-09,385.5214269785729,446.37917350495655,0.018745981254018742,0.23739176260823736,387.5,0.4325565674434325,362.5,0.3113056886943113,154
2025-12-10,2025-07-10,384.7095527904471,445.6529509311524,0.02254497745502254,0.22557777442222554,387.5,0.4303615696384303,362.5,0.3215156784843215,153
2025-12-10,2025-07-11,389.11904838095165,460.12446959435067,0.2664227335772664,0.046240953759046244,387.5,0.4360575639424361,362.5,0.25384674615325387,152
2025-12-10,2025-07-14,388.467875,467.773842984375,0.279264,0.045131,387.5,0.43228,362.5,0.263656,149
2025-12-10,2025-07-15,393.89405,463.1948745975001,0.194999,0.07268700000000002,387.5,0.42307900000000004,412.5,0.30923500000000004,148
2025-12-10,2025-07-16,391.0381,460.87934839,0.235122,0.054902,387.5,0.434168,412.5,0.275808,147
2025-12-10,2025-07-17,394.9845,477.57225975,0.181925,0.081635,387.5,0.411594,412.5,0.324846,146
2025-12-10,2025-07-18,391.96787500000005,482.102467984375,0.224356,0.063438,387.5,0.423761,412.5,0.288445,145
2025-12-10,2025-07-21,392.03810000000004,470.47814839,0.222574,0.062602,387.5,0.42747,412.5,0.287354,142
2025-12-10,2025-07-22,391.59167090832915,464.92462251154006,0.2273857726142274,0.05881194118805882,387.5,0.4317225682774318,412.5,0.2820797179202821,141
2025-12-10,2025-07-23,392.930925,473.644428644375,0.209591,0.068442,387.5,0.424093,412.5,0.297874,140
2025-12-10,2025-07-24,394.82377499999996,476.83044474937503,0.183313,0.08086,387.5,0.41442,412.5,0.321407,139
2025-12-10,2025-07-25,392.82380532380523,469.18759440471956,0.2091182091182091,0.06662206662206661,387.5,0.42752942752942746,412.5,0.2967302967302967,138
2025-12-10,2025-07-28,392.77860527860526,461.12056529691944,0.2084052084052084,0.06512606512606513,387.5,0.43112943112943114,412.5,0.29533929533929537,135
2025-12-10,2025-07-29,392.14405,452.6840495975,0.217336,0.060576,387.5,0.435838,412.5,0.28625,134
2025-12-10,2025-07-30,399.590475,459.08103927437503,0.123466,0.114155,387.5,0.381215,412.5,0.381164,133
2025-12-10,2025-07-31,404.803575,444.693167219375,0.077715,0.171499,412.5,0.42686,387.5,0.323926,132
2025-12-10,2025-08-01,379.374975,324.762093749375,0.0,0.128076,362.5,0.4641,387.5,0.407824,131
2025-12-10,2025-08-04,376.4285500000001,270.8504948975,0.0,0.08391100000000001,362.5,0.5314700000000001,387.5,0.38461900000000004,128
2025-12-10,2025-08-05,378.8214586785414,293.43130178335304,0.0,0.11001788998211003,362.5,0.46286453713546294,387.5,0.42711757288242713,127
2025-12-10,2025-08-06,375.8750366249634,253.1742132150704,0.0,0.07250792749207252,362.5,0.5403284596715403,387.5,0.3871636128363872,126
2025-12-10,2025-08-07,378.125,284.714375,0.0,0.099786,362.5,0.480185,387.5,0.420029,125
2025-12-10,2025-08-08,378.76785,298.1508063775,0.0,0.110442,362.5,0.466946,387.5,0.422612,124
2025-12-10,2025-08-11,379.571425,313.014573469375,0.0,0.123588,362.5,0.450002,387.5,0.42641,121
2025-12-10,2025-08-12,377.125,265.874375,0.0,0.084048,362.5,0.50268,387.5,0.413272,120
2025-12-10,2025-08-13,373.62500000000006,259.531875,0.031678000000000005,0.05246000000000001,362.5,0.5441040000000001,387.5,0.37175800000000003,119
2025-12-10,2025-08-14,380.57145,310.3701948975,0.0,0.132801,387.5,0.449592,362.5,0.417607,118
2025-12-10,2025-08-15,383.26785000000007,346.39765637749997,0.0,0.175616,387.5,0.463888,362.5,0.360496,117
2025-12-10,2025-08-18,384.517875,353.105055484375,0.0,0.19275,387.5,0.476612,362.5,0.330638,114
2025-12-10,2025-08-19,383.07145,336.5004448975,0.0,0.16841499999999998,387.5,0.472076,362.5,0.359509,113
2025-12-10,2025-08-20,383.07145442854556,345.9513685581669,0.0,0.1721898278101722,387.5,0.4626335373664627,362.5,0.36517663482336515,112
2025-12-10,2025-08-21,389.01785,399.1923813775,0.253618,0.037222,387.5,0.469272,362.5,0.253618,111
2025-12-10,2025-08-22,381.7857,308.52802551,0.0,0.139065,387.5,0.483501,362.5,0.377434,110
2025-12-10,2025-08-25,383.9821214821215,344.8830129919311,0.0,0.1822091822091822,387.5,0.47824647824647826,362.5,0.33954433954433955,107
2025-12-10,2025-08-26,382.5893,312.67752551,0.0,0.149742,387.5,0.493349,362.5,0.356909,106
2025-12-10,2025-08-27,381.23215,298.21155637749996,0.0,0.128199,387.5,0.484667,362.5,0.387134,105
2025-12-10,2025-08-28,382.178575,315.26306096937503,0.0,0.146772,387.5,0.482767,362.5,0.370461,104
2025-12-10,2025-08-29,381.12496862496863,313.784954393345,0.0,0.13612813612813612,387.5,0.46278646278646274,362.5,0.4010854010854011,103
2025-12-10,2025-09-02,382.071425,306.736198469375,0.0,0.144529,387.5,0.485867,362.5,0.369604,99
2025-12-10,2025-09-03,379.12499999999994,262.425625,0.0,0.093255,387.5,0.475841,362.5,0.430904,98
2025-12-10,2025-09-04,378.12502499999994,253.395468749375,0.0,0.08090900000000001,387.5,0.460873,362.5,0.458218,97
2025-12-10,2025-09-05,367.7857000000001,224.07762551000002,0.07716300000000001,0.018736000000000003,362.5,0.6529820000000001,387.5,0.25111900000000004,96
2025-12-10,2025-09-08,366.2857037857038,197.86115903962022,0.08045808045808046,0.013582013582013584,362.5,0.7012377012377012,387.5,0.2047222047222047,93
2025-12-10,2025-09-09,369.67856782143207,221.038516462746,0.047257952742047256,0.027226972773027224,362.5,0.6455683544316454,387.5,0.2799467200532799,92
2025-12-10,2025-09-10,367.67857499999997,203.686735969375,0.064242,0.01659,362.5,0.680963,387.5,0.238205,91
