OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
157,2015,34340,서천군,532,11826,22.22932330827068,17.0,13.32827443977983,6,63,57,35,13,57,177.6428995420883,,0
158,2015,34350,청양군,698,10970,15.7163323782235,13.5,7.144420329838532,7,50,43,34,11,39,51.04274184941011,,0
159,2015,34360,홍성군,663,15081,22.74660633484163,20.0,11.53455232036127,6,61,55,50,14,56,133.0458972311515,홍성군,3
160,2015,34370,예산군,785,18960,24.15286624203822,22.0,12.01006245050004,7,61,54,52,22,55,144.2416000649111,예산군,2
161,2015,34380,태안군,836,14178,16.95933014354067,14.0,9.556343694868348,0,59,59,37,13,51,91.32370481445004,,0
162,2015,35011,전주시완산구,137,7149,52.18248175182482,58.0,13.20485366311441,15,63,48,15,63,38,174.3681602642661,,0
163,2015,35012,전주시덕진구,159,8988,56.52830188679246,62.0,10.38432013487554,20,63,43,20,63,32,107.8341046635816,,0
164,2015,35020,군산시,566,21842,38.59010600706713,39.0,18.1136432481213,0,63,63,6,63,58,328.1040717202104,군산시,1
165,2015,35030,익산시,729,24304,33.33882030178327,30.0,15.08382209996165,11,63,52,57,19,53,227.5216891432916,익산시,3
166,2015,35040,정읍시,1003,23387,23.31704885343968,21.0,12.01657124603656,6,62,56,49,14,56,144.3979845110726,정읍시,8
167,2015,35050,남원시,1068,15025,14.06835205992509,9.0,11.84339171212536,0,61,61,42,8,59,140.2659272468397,,0
168,2015,35060,김제시,727,15229,20.94773039889959,19.0,10.47023775364363,7,59,52,44,14,50,109.6258786178244,김제시,1
169,2015,35310,완주군,1181,27755,23.50127011007621,17.0,16.53475666273049,5,63,58,49,9,59,273.3981778957103,,0
170,2015,35320,진안군,1138,12823,11.26801405975395,10.0,6.816400652005441,5,57,52,20,8,46,46.46331784866021,,0
171,2015,35330,무주군,911,14547,15.96816684961581,13.0,9.56335835854775,5,50,45,39,8,46,91.45782309400512,,0
172,2015,35340,장수군,758,9621,12.69261213720317,11.0,7.59802941297152,0,45,45,4,8,42,57.73005096038035,,0
173,2015,35350,임실군,857,13802,16.10501750291715,12.0,10.61924830522174,5,56,51,47,9,51,112.7684345679548,,0
174,2015,35360,순창군,714,9959,13.94817927170868,12.0,7.724155663796658,6,55,49,26,10,45,59.662580718562,,0
175,2015,35370,고창군,875,15502,17.71657142857143,14.0,9.39590851468482,6,57,51,6,14,50,88.28309681632668,고창군,5
176,2015,35380,부안군,695,13647,19.63597122302158,18.0,11.69337885082033,0,60,60,42,7,55,136.7351089488123,,0
177,2015,36010,목포시,80,4578,57.225,62.0,11.05325178397741,23,63,40,23,62,17,122.1743749999999,목포시,1
178,2015,36020,여수시,763,24349,31.91218872870249,22.0,21.72420712378344,0,63,63,31,63,60,471.9411751570432,여수시,4
179,2015,36030,순천시,1296,23384,18.04320987654321,10.0,17.37738304660818,5,63,58,39,7,59,301.9734415485454,순천시,12
180,2015,36040,나주시,871,22046,25.31113662456946,21.0,13.61504039233425,7,62,55,40,18,56,185.3693248848931,나주시,10
181,2015,36060,광양시,671,20188,30.08643815201192,22.0,21.39093874025972,5,63,58,28,63,59,457.572260189544,,0
182,2015,36310,담양군,645,14670,22.74418604651163,18.0,13.76856270316998,6,59,53,6,9,53,189.5733189111234,담양군,2
183,2015,36320,곡성군,781,10850,13.89244558258643,11.0,8.175332610315756,4,50,46,4,8,45,66.83606328929223,,0
184,2015,36330,구례군,629,6845,10.88235294117647,7.0,8.93140207097037,0,53,53,38,5,42,79.7699429533338,,0
185,2015,36350,고흥군,1172,9024,7.699658703071672,6.0,6.170520570875569,0,49,49,21,5,44,38.07532411559855,,0
